start_date,end_date,pollster,sponsor,sample_size,population,party,subject,tracking,text,approve,disapprove,url
2020-06-07,2020-06-09,YouGov,Economist,567,a,D,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,15,82,https://docs.cdn.yougov.com/ngcg634q9k/econTabReport.pdf
2020-06-07,2020-06-09,YouGov,Economist,589,a,I,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,40,50,https://docs.cdn.yougov.com/ngcg634q9k/econTabReport.pdf
2020-06-08,2020-06-09,Ipsos (online),Reuters,1114,a,all,Trump,FALSE,Do you approve or disapprove about the way Donald Trump is handling the following issues? Coronavirus/COVID-19,43,52,https://www.ipsos.com/sites/default/files/ct/news/documents/2020-06/2020_reuters_tracking_-_core_political_presidential_approval_tracker_06_10_2020.pdf
2020-06-08,2020-06-09,Redfield & Wilton Strategies,"",1500,rv,all,Trump,FALSE,To what extent do you approve or disapprove of President Donald Trump’s handling of the coronavirus crisis specifically?,37,51,https://redfieldandwiltonstrategies.com/latest-usa-voting-intention-8-and-9-june/
2020-06-08,2020-06-10,HarrisX,Hill.TV,1912,rv,all,Trump,FALSE,Handling the coronavirus outbreak - Do you approve or disapprove of the job President Trump is doing on ...?,47,53,https://thehill.com/hilltv/what-americas-thinking/502534-poll-trump-approval-ticks-up-after-mays-jobs-report
2020-06-08,2020-06-10,HarrisX,Hill.TV,611,rv,R,Trump,FALSE,Handling the coronavirus outbreak - Do you approve or disapprove of the job President Trump is doing on ...?,83,17,https://thehill.com/hilltv/what-americas-thinking/502534-poll-trump-approval-ticks-up-after-mays-jobs-report
2020-06-08,2020-06-10,HarrisX,Hill.TV,707,rv,D,Trump,FALSE,Handling the coronavirus outbreak - Do you approve or disapprove of the job President Trump is doing on ...?,20,80,https://thehill.com/hilltv/what-americas-thinking/502534-poll-trump-approval-ticks-up-after-mays-jobs-report
2020-06-08,2020-06-10,HarrisX,Hill.TV,554,rv,I,Trump,FALSE,Handling the coronavirus outbreak - Do you approve or disapprove of the job President Trump is doing on ...?,43,57,https://thehill.com/hilltv/what-americas-thinking/502534-poll-trump-approval-ticks-up-after-mays-jobs-report
2020-06-08,2020-06-30,SurveyMonkey,Axios,169420,a,all,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling the federal government's response to coronavirus?,45,53,https://www.tableau.com/data-insights/us-election-2020/approval-dashboard
2020-06-08,2020-06-30,SurveyMonkey,Axios,64866,a,R,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling the federal government's response to coronavirus?,87,13,https://www.tableau.com/data-insights/us-election-2020/approval-dashboard
2020-06-08,2020-06-30,SurveyMonkey,Axios,75498,a,D,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling the federal government's response to coronavirus?,8,91,https://www.tableau.com/data-insights/us-election-2020/approval-dashboard
2020-06-08,2020-06-30,SurveyMonkey,Axios,25052,a,I,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling the federal government's response to coronavirus?,35,63,https://www.tableau.com/data-insights/us-election-2020/approval-dashboard
2020-06-09,2020-06-09,Data for Progress,"",836,a,all,Trump,FALSE,"For each person or group, say whether you approve or disapprove of the way they are handling the coronavirus pandemic: President Donald Trump",41.27,53.98,https://docs.google.com/spreadsheets/d/1Ulb7_xHlxGXMc9CFALO64lP5Tow0Qsh6ENzKySO9fnc/edit
2020-06-09,2020-06-09,Data for Progress,"",400,a,R,Trump,FALSE,"For each person or group, say whether you approve or disapprove of the way they are handling the coronavirus pandemic: President Donald Trump",81.82,16.74,https://docs.google.com/spreadsheets/d/1Ulb7_xHlxGXMc9CFALO64lP5Tow0Qsh6ENzKySO9fnc/edit
2020-06-09,2020-06-09,Data for Progress,"",335,a,D,Trump,FALSE,"For each person or group, say whether you approve or disapprove of the way they are handling the coronavirus pandemic: President Donald Trump",14.08,83.25,https://docs.google.com/spreadsheets/d/1Ulb7_xHlxGXMc9CFALO64lP5Tow0Qsh6ENzKySO9fnc/edit
2020-06-09,2020-06-10,YouGov,Yahoo News,1570,a,all,Trump,FALSE,Do you approve or disapprove of President Trump’s handling of the following things? Coronavirus,41,55,https://docs.cdn.yougov.com/86ijosd7cy/20200611_yahoo_race_police_covid_crosstabs.pdf
2020-06-09,2020-06-10,YouGov,Yahoo News,432,a,R,Trump,FALSE,Do you approve or disapprove of President Trump’s handling of the following things? Coronavirus,81,17,https://docs.cdn.yougov.com/86ijosd7cy/20200611_yahoo_race_police_covid_crosstabs.pdf
2020-06-09,2020-06-10,YouGov,Yahoo News,527,a,D,Trump,FALSE,Do you approve or disapprove of President Trump’s handling of the following things? Coronavirus,16,81,https://docs.cdn.yougov.com/86ijosd7cy/20200611_yahoo_race_police_covid_crosstabs.pdf
2020-06-09,2020-06-10,YouGov,Yahoo News,454,a,I,Trump,FALSE,Do you approve or disapprove of President Trump’s handling of the following things? Coronavirus,33,60,https://docs.cdn.yougov.com/86ijosd7cy/20200611_yahoo_race_police_covid_crosstabs.pdf
2020-06-09,2020-06-16,Øptimus,"",1642,a,all,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",45.1,55,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-18-2020
2020-06-09,2020-06-16,Øptimus,"",467.97,a,R,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",82.6,17.4,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-18-2020
2020-06-09,2020-06-16,Øptimus,"",574.7,a,D,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",15.8,84.3,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-18-2020
2020-06-09,2020-06-16,Øptimus,"",596.046,a,I,Trump,TRUE,"In general, do you approve or disapprove of President Donald Trump’s handling of the coronavirus outbreak?",43.2,56.8,https://github.com/optimus-forecasting-and-polling/0ptimus-Coronavirus-Tracking/tree/master/June-18-2020
2020-06-10,2020-06-16,Ipsos (online),Reuters,4426,a,all,Trump,FALSE,Do you approve or disapprove about the way Donald Trump is handling the following issues? Coronavirus/COVID-19,40,55,https://www.reuters.com/article/us-usa-election-poll/biden-opens-13-point-advantage-as-trump-popularity-drops-to-seven-month-low-reuters-ipsos-poll-idUSKBN23O1GX
2020-06-11,2020-06-15,AP-NORC,"",1310,a,all,Trump,FALSE,"Overall, do you approve or disapprove of the way Donald Trump is handling the coronavirus outbreak?",37,62,http://www.apnorc.org/PDFs/AP-NORC%20June%202020/topline_june2020_release2.pdf
2020-06-11,2020-06-15,Global Strategy Group/GBAO/Navigator Research,"",1009,rv,all,Trump,FALSE,Do you approve or disapprove of the way that Donald Trump is handling the coronavirus pandemic?,40,57,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.18.20.pdf
2020-06-11,2020-06-15,Global Strategy Group/GBAO/Navigator Research,"",363.24,rv,R,Trump,FALSE,Do you approve or disapprove of the way that Donald Trump is handling the coronavirus pandemic?,82,14,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.18.20.pdf
2020-06-11,2020-06-15,Global Strategy Group/GBAO/Navigator Research,"",433.87,rv,D,Trump,FALSE,Do you approve or disapprove of the way that Donald Trump is handling the coronavirus pandemic?,6,93,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.18.20.pdf
2020-06-11,2020-06-15,Global Strategy Group/GBAO/Navigator Research,"",221.98,rv,I,Trump,FALSE,Do you approve or disapprove of the way that Donald Trump is handling the coronavirus pandemic?,35,56,https://navigatorresearch.org/wp-content/uploads/2020/06/Navigating-Coronavirus-Full-Topline-F06.18.20.pdf
2020-06-11,2020-06-15,Quinnipiac,"",1332,rv,all,Trump,FALSE,Do you approve or disapprove of the way Donald Trump is handling the response to the coronavirus?,42,56,https://poll.qu.edu/national/release-detail?ReleaseID=3664
2020-06-11,2020-06-15,Quinnipiac,"",333,rv,R,Trump,FALSE,Do you approve or disapprove of the way Donald Trump is handling the response to the coronavirus?,90,8,https://poll.qu.edu/national/release-detail?ReleaseID=3664
2020-06-11,2020-06-15,Quinnipiac,"",439.56,rv,D,Trump,FALSE,Do you approve or disapprove of the way Donald Trump is handling the response to the coronavirus?,5,94,https://poll.qu.edu/national/release-detail?ReleaseID=3664
2020-06-11,2020-06-15,Quinnipiac,"",452.88,rv,I,Trump,FALSE,Do you approve or disapprove of the way Donald Trump is handling the response to the coronavirus?,43,56,https://poll.qu.edu/national/release-detail?ReleaseID=3664
2020-06-11,2020-06-17,Nationscape,"",8000,a,all,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?,40,54,https://www.voterstudygroup.org/covid-19-updates
2020-06-11,2020-06-17,Nationscape,"",2300,a,R,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?,78,19,https://www.voterstudygroup.org/covid-19-updates
2020-06-11,2020-06-17,Nationscape,"",2800,a,D,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?,13,84,https://www.voterstudygroup.org/covid-19-updates
2020-06-11,2020-06-17,Nationscape,"",2300,a,I,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of the coronavirus outbreak?,27,50,https://www.voterstudygroup.org/covid-19-updates
2020-06-12,2020-06-14,Change Research,CNBC,1250,lv,all,Trump,FALSE,Do you approve or disapprove of the job Donald Trump is doing handling each of the following issues: The coronavirus,42,58,https://drive.google.com/file/d/18zrf4szzSaU08mqpsgkkoRNODZty4GOy/view
2020-06-12,2020-06-14,Morning Consult,"",2200,a,all,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,37,55,https://assets.morningconsult.com/wp-uploads/2020/06/15150404/200652_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-12,2020-06-14,Morning Consult,"",607,a,R,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,78,17,https://assets.morningconsult.com/wp-uploads/2020/06/15150404/200652_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-12,2020-06-14,Morning Consult,"",867,a,D,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,13,80,https://assets.morningconsult.com/wp-uploads/2020/06/15150404/200652_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-12,2020-06-14,Morning Consult,"",726,a,I,Trump,FALSE,Do you approve or disapprove of the job each of the following is doing in handling the spread of coronavirus in the United States? President Donald Trump,32,55,https://assets.morningconsult.com/wp-uploads/2020/06/15150404/200652_crosstabs_CORONAVIRUS_CONTENT_Adults_v2_JB.pdf
2020-06-12,2020-06-14,Morning Consult,Politico,1987,rv,all,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,37,58,https://www.politico.com/f/?id=00000172-bfcd-d721-adff-bffdfec50000
2020-06-12,2020-06-14,Morning Consult,Politico,654,rv,R,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,78,20,https://www.politico.com/f/?id=00000172-bfcd-d721-adff-bffdfec50000
2020-06-12,2020-06-14,Morning Consult,Politico,722,rv,D,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,7,88,https://www.politico.com/f/?id=00000172-bfcd-d721-adff-bffdfec50000
2020-06-12,2020-06-14,Morning Consult,Politico,611,rv,I,Trump,FALSE,How would you rate each of the following on their handling of the coronavirus? President Donald Trump,27,62,https://www.politico.com/f/?id=00000172-bfcd-d721-adff-bffdfec50000
2020-06-12,2020-06-14,YouGov,Huffington Post,1000,a,all,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,39,52,https://docs.cdn.yougov.com/4xyjgiwnim/tabs_HP_Coronavirus_20200612.pdf
2020-06-12,2020-06-14,YouGov,Huffington Post,220,a,R,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,77,16,https://docs.cdn.yougov.com/4xyjgiwnim/tabs_HP_Coronavirus_20200612.pdf
2020-06-12,2020-06-14,YouGov,Huffington Post,338,a,D,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,13,83,https://docs.cdn.yougov.com/4xyjgiwnim/tabs_HP_Coronavirus_20200612.pdf
2020-06-12,2020-06-14,YouGov,Huffington Post,432,a,I,Trump,FALSE,Do you approve or disapprove of the way President Trump is handling issues related to the coronavirus?,36,50,https://docs.cdn.yougov.com/4xyjgiwnim/tabs_HP_Coronavirus_20200612.pdf
2020-06-12,2020-06-16,Echelon Insights,"",1000,lv,all,Trump,FALSE,Do you approve or disapprove of how Donald Trump is handling… The spread of the coronavirus in the United States,41,57,https://60p3co1nax34ovc830mr2sak-wpengine.netdna-ssl.com/wp-content/uploads/Omnibus_June-2020_Release21.pdf
2020-06-13,2020-06-15,Winston,"",1000,rv,all,Trump,FALSE,Overall would you say that you approve or disapprove of the job Donald Trump is doing in handling the current health situation involving the coronavirus?,41,48,https://www.winningtheissues.org/wp-content/uploads/2020/08/Winning-the-Issues-June-2020-National-Survey.pdf
2020-06-13,2020-06-16,Fox News,"",1343,rv,all,Trump,FALSE,Do you approve or disapprove of the way each of the following have responded to the coronavirus pandemic? President Donald Trump,44,55,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-13-16-2020_Complete_National_Topline_June-19-Release.pdf
2020-06-13,2020-06-16,Fox News,"",550.63,rv,R,Trump,FALSE,Do you approve or disapprove of the way each of the following have responded to the coronavirus pandemic? President Donald Trump,84,15,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-13-16-2020_Complete_National_Topline_June-19-Release.pdf
2020-06-13,2020-06-16,Fox News,"",631.21,rv,D,Trump,FALSE,Do you approve or disapprove of the way each of the following have responded to the coronavirus pandemic? President Donald Trump,12,87,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-13-16-2020_Complete_National_Topline_June-19-Release.pdf
2020-06-13,2020-06-16,Fox News,"",174.59,rv,I,Trump,FALSE,Do you approve or disapprove of the way each of the following have responded to the coronavirus pandemic? President Donald Trump,31,65,https://static.foxnews.com/foxnews.com/content/uploads/2020/06/Fox_June-13-16-2020_Complete_National_Topline_June-19-Release.pdf
2020-06-14,2020-06-16,YouGov,Economist,1500,a,all,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,40,51,https://docs.cdn.yougov.com/vgqowgynze/econTabReport.pdf
2020-06-14,2020-06-16,YouGov,Economist,381,a,R,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,81,13,https://docs.cdn.yougov.com/vgqowgynze/econTabReport.pdf
2020-06-14,2020-06-16,YouGov,Economist,517,a,D,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,7,89,https://docs.cdn.yougov.com/vgqowgynze/econTabReport.pdf
2020-06-14,2020-06-16,YouGov,Economist,596,a,I,Trump,FALSE,Do you approve or disapprove of Donald Trump’s handling of COVID-19 outbreak?,39,45,https://docs.cdn.yougov.com/vgqowgynze/econTabReport.pdf
2020-06-17,2020-06-18,Harris Poll,Harvard,1886,rv,all,Trump,FALSE,Do you approve or disapprove of the job President Trump is doing on ...? Reacting to coronavirus,44,56,https://harvardharrispoll.com/wp-content/uploads/2020/07/HHP_June2020_Crosstabs_RegisteredVoters.pdf
2020-06-17,2020-06-18,Harris Poll,Harvard,587,rv,R,Trump,FALSE,Do you approve or disapprove of the job President Trump is doing on ...? Reacting to coronavirus,75,25,https://harvardharrispoll.com/wp-content/uploads/2020/07/HHP_June2020_Crosstabs_RegisteredVoters.pdf
2020-06-17,2020-06-18,Harris Poll,Harvard,706,rv,D,Trump,FALSE,Do you approve or disapprove of the job President Trump is doing on ...? Reacting to coronavirus,22,78,https://harvardharrispoll.com/wp-content/uploads/2020/07/HHP_June2020_Crosstabs_RegisteredVoters.pdf
2020-06-17,2020-06-18,Harris Poll,Harvard,545,rv,I,Trump,FALSE,Do you approve or disapprove of the job President Trump is doing on ...? Reacting to coronavirus,38,62,https://harvardharrispoll.com/wp-content/uploads/2020/07/HHP_June2020_Crosstabs_RegisteredVoters.pdf
2020-06-17,2020-06-18,Ipsos (online),ABC News,727,a,all,Trump,FALSE,Do you approve or disapprove of the way Donald Trump is handling the response to the coronavirus (COVID-19)?,41,58,https://abcnews.go.com/Politics/approval-trumps-coronavirus-response-underwater-returns-campaign-trail/story?id=71351241
