subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,2/28/2020,all,17.72238,25.69686,34.42496,19.88146,12:41:41  1 Apr 2020
concern-economy,2/28/2020,R,24.24578,38.69303,23.09414,9.609564,12:40:25  1 Apr 2020
concern-infected,2/28/2020,D,18.79512,29.3567,32.72601,17.0383,12:39:07  1 Apr 2020
concern-economy,2/28/2020,I,26.26993,35.37476,22.08708,8.459316,12:39:36  1 Apr 2020
concern-economy,2/28/2020,D,31.76107,36.60876,18.91237,7.950556,12:38:53  1 Apr 2020
concern-economy,2/27/2020,all,27.05002,36.08369,23.01477,10.46454,12:41:21  1 Apr 2020
concern-economy,2/27/2020,R,24.24578,38.69303,23.09414,9.609564,12:40:25  1 Apr 2020
concern-infected,2/27/2020,I,13.56196,28.04737,37.52386,20.42545,12:39:53  1 Apr 2020
concern-infected,2/27/2020,R,14.04707,23.56906,39.71723,22.33875,12:40:45  1 Apr 2020
concern-infected,2/27/2020,D,17.69887,26.51304,36.56023,18.96448,12:39:08  1 Apr 2020
