subject,modeldate,party,very_estimate,somewhat_estimate,not_very_estimate,not_at_all_estimate,timestamp
concern-infected,2/21/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:30  2 Apr 2020
concern-infected,2/20/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:31  2 Apr 2020
concern-economy,2/20/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:11  2 Apr 2020
concern-economy,2/19/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:12  2 Apr 2020
concern-infected,2/19/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:31  2 Apr 2020
concern-infected,2/18/2020,all,18.43492,23.51789,36.31841,20.99664,17:46:32  2 Apr 2020
concern-economy,2/18/2020,all,22.2899,34.34493,27.1253,13.61984,17:46:12  2 Apr 2020
concern-infected,2/17/2020,all,16.4273,24.80625,37.79734,19.74481,17:46:32  2 Apr 2020
concern-economy,2/17/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-infected,2/16/2020,all,16.4273,24.80625,37.79734,19.74481,17:46:32  2 Apr 2020
concern-economy,2/16/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-economy,2/15/2020,all,22.7564,32.28901,24.01514,8.969726,17:46:12  2 Apr 2020
concern-infected,2/15/2020,all,11.7618,26.27597,39.08025,19.99529,17:46:33  2 Apr 2020
